ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,target
35,0.63,0.018,0,0,0,0,0,0,0.107,0.00067,0,0,0,0.126,0,0,0,0,0,0.085,0,class3
36,0.31,0.03,0,0,0,0,0,0,0.158,0.00189,1,0,0,0.156,0,0,0,0,0,0.101,1,class3
37,0.27,0.022,0,0,0,0,0,0,0.094,0.0026,0,0,0,0.106,0,0,0,0,0,0.089,0,class3
38,0.38,0.0206,0,0,0,0,0,0,0.115,0.0012,0,0,0,0.114,0,1,0,0,0,0.097,0,class3
39,0.6,0.026,0,1,0,0,0,0,0.109,0.011,0,0,0,0.103,0,0,0,0,0,0.104,0,class2
40,0.66,0.0208,0,0,1,0,0,0,0.079,0.0038,0,0,0,0.074,0,0,0,0,0,0.107,0,class3
41,0.58,0.0206,0,0,0,0,0,0,0.11118,0.00189,0,0,0,0.11207,0,0,0,0,0,0.099,0,class3
42,0.6,0.0206,0,1,0,0,0,0,0.11118,0.00189,0,0,0,0.11207,0,0,0,0,0,0.099,0,class3
43,0.17,0.0206,0,0,0,0,0,0,0.117,0.00025,0,1,0,0.126,0,0,0,0,0,0.092,0,class3
44,0.77,0.02,0,0,0,0,0,0,0.103,0.0027,0,0,0,0.114,0,0,0,0,0,0.09,0,class3
45,0.27,0.025,0,0,0,0,0,0,0.145,0.0,0,0,0,0.1,1,0,0,0,0,0.145,1,class3
46,0.74,0.012,0,0,0,1,0,0,0.096,0.003,0,0,0,0.103,0,0,0,0,0,0.093,0,class3
47,0.46,0.045,0,1,0,0,0,0,0.156,2e-05,0,0,0,0.205,0,0,0,1,0,0.076,0,class3
48,0.65,0.013,0,1,0,0,0,0,0.157,0.0023,0,0,0,0.172,0,0,0,0,0,0.091,0,class3
49,0.41,0.0206,0,0,0,0,0,0,0.097,0.0011,0,1,0,0.11,0,0,0,0,0,0.088,0,class3
50,0.84,0.0208,0,0,0,0,0,0,0.138,0.0005,1,0,0,0.15,0,0,0,0,0,0.092,0,class3
51,0.32,0.037,0,0,0,0,0,0,0.139,2e-05,0,1,0,0.104,0,0,0,1,0,0.134,1,class3
52,0.42,0.017,0,1,0,0,0,0,0.084,0.0013,0,0,0,0.133,0,0,0,0,0,0.063,0,class3
53,0.2,0.0206,0,0,0,0,0,0,0.11118,0.00189,0,1,0,0.11207,0,0,0,0,0,0.099,0,class3
54,0.19,0.023,0,0,0,0,0,0,0.1,0.0006,0,0,0,0.106,0,0,0,1,0,0.094,0,class3
55,0.62,0.0206,0,0,0,0,0,0,0.126,0.0025,0,1,0,0.101,0,0,0,0,0,0.124,0,class3
56,0.74,0.0208,0,1,0,0,0,0,0.149,0.0026,0,0,0,0.147,0,0,0,0,0,0.102,0,class3
57,0.67,0.023,0,1,0,0,0,0,0.104,0.0008,0,0,0,0.1,0,0,0,0,0,0.104,0,class3
58,0.75,0.02,0,1,0,0,0,0,0.084,0.0018,0,0,0,0.093,0,0,0,0,0,0.09,0,class3
59,0.45,0.025,0,0,0,0,0,0,0.098,0.0067,0,0,0,0.111,0,0,0,0,0,0.088,0,class2
60,0.19,0.027,0,0,0,0,0,0,0.108,0.00879,0,0,0,0.097,0,0,0,0,0,0.111,0,class2
61,0.21,0.018,0,0,0,0,0,0,0.084,0.0009,0,0,0,0.113,0,0,0,0,0,0.075,0,class3
62,0.79,0.016,0,0,0,0,0,0,0.121,0.0014,0,0,0,0.107,0,0,0,0,0,0.113,0,class3
63,0.19,0.0206,0,0,0,0,0,0,0.09,0.00189,0,0,0,0.101,0,0,0,0,0,0.089,0,class3
64,0.15,0.015,0,0,0,0,0,0,0.135,0.00189,0,0,0,0.13608,0,0,0,0,0,0.099,0,class3
65,0.7,0.02,0,0,0,0,0,0,0.091,0.001,0,0,0,0.096,0,0,0,0,0,0.095,0,class3
66,0.02,0.0206,0,0,0,0,0,0,0.145,2e-05,0,1,0,0.155,0,0,0,0,0,0.093,0,class3
67,0.78,0.022,0,0,0,0,0,0,0.092,0.00058,0,0,0,0.096,0,0,0,0,0,0.096,0,class3
68,0.57,0.0206,0,0,0,0,0,0,0.11118,0.00189,0,1,1,0.11207,0,0,0,0,0,0.099,0,class3
69,0.48,0.027,0,0,0,0,0,0,0.102,0.0028,0,0,0,0.109,0,0,0,0,0,0.094,0,class3
70,0.74,0.014,0,0,0,0,0,0,0.075,0.0017,0,0,0,0.101,0,0,0,0,0,0.074,0,class3
71,0.62,0.0096,0,0,0,0,0,0,0.075,0.013,0,0,0,0.055,0,0,0,0,0,0.135,0,class1
72,0.68,0.013,0,0,0,0,0,0,0.084,0.024,0,0,0,0.102,0,0,0,0,0,0.082,0,class2
73,0.68,0.015,0,1,0,0,0,0,0.092,0.0011,0,0,0,0.085,0,0,0,0,0,0.108,0,class3
74,0.62,0.019,0,0,0,0,0,0,0.066,0.0016,0,0,0,0.093,0,0,0,0,0,0.071,0,class3
75,0.59,0.0206,0,1,0,0,0,0,0.119,0.0052,0,1,0,0.127,0,0,0,0,0,0.093,0,class3
76,0.87,0.017,0,0,0,0,0,0,0.14,0.0025,0,0,0,0.147,0,0,0,0,0,0.096,0,class3
77,0.39,0.02,0,0,0,0,0,0,0.114,0.0006,0,0,0,0.114,0,0,0,1,0,0.1,0,class3
78,0.73,0.015,0,0,0,0,0,0,0.12,0.0031,0,1,0,0.127,0,0,0,0,0,0.094,0,class3
79,0.64,0.013,0,1,0,0,0,0,0.124,0.002,0,0,0,0.138,0,0,0,0,0,0.09,0,class3
80,0.71,0.024,1,0,0,0,0,0,0.122,0.0011,0,0,0,0.109,0,0,0,0,0,0.112,0,class3
81,0.46,0.0208,0,1,0,0,0,0,0.108,0.0008,0,0,0,0.119,0,0,0,0,0,0.091,0,class3
82,0.67,0.018,0,0,0,0,0,0,0.143,0.0017,0,1,0,0.164,0,0,0,0,0,0.087,0,class3
83,0.25,0.016,0,0,0,1,0,0,0.078,0.0014,0,0,0,0.089,0,0,0,0,0,0.088,0,class3
84,0.54,0.022,0,1,0,0,0,0,0.116,0.0024,0,0,0,0.112,0,0,0,0,0,0.103,0,class3
85,0.42,0.019,0,1,0,0,0,0,0.074,0.00067,0,0,0,0.093,1,0,0,1,0,0.079,0,class3
86,0.65,0.019,0,0,0,0,0,0,0.101,0.0022,0,0,0,0.102,0,0,0,0,0,0.099,0,class3
87,0.19,0.0208,0,0,0,0,0,0,0.08,0.003,0,0,0,0.091,0,0,0,0,0,0.089,0,class3
88,0.8,0.016,1,0,0,0,0,0,0.099,0.006,0,0,0,0.104,0,0,0,0,0,0.095,0,class3
89,0.66,0.024,0,0,0,0,0,0,0.1,0.0006,0,0,0,0.1,0,0,0,0,0,0.1,0,class3
90,0.62,0.014,0,0,0,0,0,0,0.11118,0.00189,0,0,0,0.11207,0,0,0,0,0,0.099,0,class3
91,0.34,0.023,0,0,0,0,0,0,0.076,0.0006,0,0,1,0.073,0,0,0,0,0,0.104,0,class3
92,0.26,0.0206,0,0,0,0,0,0,0.11118,0.00189,0,0,0,0.11207,0,0,0,0,0,0.099,0,class3
93,0.25,0.023,0,0,0,0,0,0,0.085,2e-05,0,0,0,0.107,0,0,0,0,0,0.079,0,class3
94,0.77,0.0206,0,0,0,0,0,0,0.11118,0.0019,0,0,1,0.11207,0,0,0,0,0,0.099,0,class3
95,0.5,0.0206,0,0,0,0,0,0,0.124,3e-05,0,1,0,0.13,0,0,0,0,0,0.099,0,class3
96,0.55,0.018,0,1,0,0,0,0,0.095,0.001,0,0,0,0.101,0,0,0,0,0,0.095,0,class3
97,0.52,0.0208,0,0,0,0,0,0,0.103,0.0017,0,0,0,0.1,0,0,0,0,0,0.103,0,class3
98,0.58,0.02,0,0,0,0,0,0,0.109,0.0016,0,0,0,0.1,0,0,0,0,0,0.109,0,class3
99,0.52,0.027,0,1,0,0,0,0,0.122,1e-05,0,0,0,0.147,0,0,0,0,0,0.083,0,class3
100,0.19,0.011,0,0,0,0,0,0,0.126,0.0037,0,0,1,0.138,0,0,0,0,0,0.091,0,class3
101,0.59,0.016,0,0,0,0,0,0,0.14,2e-05,0,0,0,0.148,0,0,0,0,0,0.095,0,class3
102,0.8,0.023,0,0,0,0,0,0,0.124,0.0008,0,0,0,0.118,0,0,0,0,0,0.104,0,class3
103,0.85,0.011,0,0,0,0,0,0,0.125,0.008,0,0,1,0.142,0,0,0,0,0,0.089,0,class2
104,0.71,0.015,0,0,0,0,0,0,0.135,0.0019,0,0,1,0.127,0,0,0,0,0,0.104,0,class3
105,0.59,0.0208,0,0,0,0,0,0,0.082,0.0003,0,0,0,0.093,0,0,0,0,0,0.088,0,class3
106,0.72,0.009,0,0,0,0,0,0,0.14,0.0023,0,0,0,0.14112,0,0,0,0,0,0.099,0,class3
107,0.65,0.018,0,0,0,0,0,0,0.107,0.0028,0,1,0,0.098,0,0,0,0,0,0.11,0,class3
108,0.2,0.013,0,1,0,0,0,0,0.077,0.0001,0,0,0,0.07762,0,0,0,0,0,0.099,0,class3
109,0.38,0.02,0,1,0,0,0,0,0.078,0.0002,0,1,0,0.092,0,0,0,0,0,0.085,0,class3
110,0.59,0.029,0,0,0,0,0,0,0.123,0.0018,0,0,0,0.094,0,0,0,0,0,0.131,0,class3
111,0.59,0.02,0,0,0,0,0,0,0.11,0.0012,0,0,0,0.114,0,0,0,0,0,0.096,0,class3
112,0.14,0.0206,0,0,0,0,0,0,0.1,0.00189,0,0,0,0.091,0,0,0,0,0,0.109,0,class3
113,0.74,0.012,0,0,0,0,0,0,0.089,0.0013,0,0,1,0.095,0,0,0,0,0,0.094,0,class3
114,0.69,0.023,0,0,0,0,0,0,0.11,0.0012,0,0,0,0.098,0,0,0,0,0,0.112,0,class3
115,0.68,0.0208,0,0,0,0,0,0,0.124,0.001,0,0,0,0.114,0,0,0,0,0,0.108,0,class3
116,0.71,0.025,0,0,0,0,0,0,0.167,9e-05,0,0,0,0.14,0,0,0,0,0,0.119,0,class3
117,0.46,0.007,0,1,0,0,0,0,0.082,0.00088,0,0,0,0.08266,0,0,0,0,0,0.099,0,class3
118,0.62,0.011,0,1,0,0,0,0,0.084,0.00859,0,0,0,0.114,0,0,0,0,0,0.074,0,class2
119,0.68,0.02,0,1,0,0,0,0,0.081,0.015,0,0,0,0.081,0,0,0,0,0,0.101,0,class2
120,0.75,0.015,0,1,0,0,0,0,0.121,0.001,0,0,0,0.153,0,0,0,0,0,0.08,0,class3
121,0.29,0.009,0,0,0,1,0,0,0.054,0.0002,0,0,0,0.072,0,0,0,0,0,0.076,0,class3
122,0.72,0.014,0,0,0,0,0,0,0.115,0.0014,0,0,0,0.118,0,0,0,0,0,0.097,0,class3
123,0.67,0.033,0,0,0,0,0,0,0.222,0.00084,0,0,1,0.122,0,0,0,0,0,0.182,0,class3
124,0.17,0.014,0,0,0,0,0,0,0.111,0.0009,0,0,1,0.109,0,0,0,0,0,0.102,0,class3
125,0.22,0.025,0,0,0,0,0,0,0.11,0.0009,0,0,0,0.11,0,0,0,0,0,0.1,0,class3
126,0.77,0.024,0,0,0,0,0,0,0.101,0.001,0,0,0,0.087,0,0,0,0,0,0.116,0,class3
127,0.48,0.01,0,1,0,0,0,0,0.046,0.0008,0,0,0,0.07,0,0,0,0,0,0.066,0,class3
128,0.58,0.016,0,0,0,0,0,0,0.082,0.0075,0,0,0,0.077,0,0,0,0,0,0.108,0,class2
129,0.58,0.0206,0,0,0,0,1,0,0.115,0.003,0,0,0,0.107,0,0,0,0,0,0.107,0,class3
130,0.75,0.019,0,0,0,0,0,0,0.152,0.0001,0,1,0,0.188,0,0,0,0,0,0.081,0,class3
131,0.37,0.0174,0,0,1,0,0,0,0.071,0.025,0,0,0,0.068,0,0,0,0,0,0.104,0,class2
132,0.7,0.023,0,0,0,0,0,0,0.18,0.00208,0,0,0,0.139,0,0,0,0,0,0.13,0,class3
133,0.51,0.022,0,0,0,0,0,0,0.164,6e-05,0,1,0,0.151,0,0,0,0,0,0.109,0,class3
134,0.53,0.037,0,0,0,1,0,0,0.172,0.0024,0,0,0,0.103,0,0,0,0,0,0.167,0,class3
135,0.71,0.022,0,0,0,0,0,0,0.152,2e-05,0,0,0,0.196,0,0,0,0,0,0.078,0,class3
136,0.49,0.027,0,1,0,0,0,0,0.094,0.00086,0,0,0,0.09475,0,0,0,0,0,0.099,0,class3
137,0.36,0.017,1,1,0,0,0,0,0.115,0.0022,0,0,0,0.118,0,0,0,0,0,0.098,0,class3
138,0.26,0.0206,0,0,0,0,0,0,0.089,0.011,0,0,0,0.086,0,0,1,1,0,0.104,0,class3
139,0.55,0.016,0,0,0,0,0,0,0.126,0.0009,0,0,0,0.135,0,0,0,0,0,0.093,0,class3
140,0.59,0.032,1,0,0,0,0,0,0.149,0.0013,0,0,0,0.127,0,0,0,0,0,0.116,0,class3
141,0.77,0.0206,0,0,0,0,0,0,0.11118,0.00027,0,0,0,0.11207,0,0,0,0,0,0.099,0,class3
142,0.64,0.014,0,0,0,0,0,0,0.092,0.00068,0,0,1,0.114,0,0,0,0,0,0.081,0,class3
143,0.63,0.023,0,0,0,0,0,0,0.111,0.0023,0,0,1,0.105,0,0,0,0,0,0.104,0,class3
144,0.21,0.0206,0,0,0,0,0,0,0.09,0.00189,0,0,0,0.092,0,0,0,0,0,0.098,0,class3
145,0.7,0.027,0,0,0,0,0,0,0.079,0.0002,1,0,0,0.081,0,0,0,0,0,0.098,0,class3
146,0.82,0.018,0,0,0,0,0,0,0.119,0.00017,0,0,0,0.13,0,0,0,0,0,0.091,0,class3
147,0.59,0.015,0,0,0,1,0,0,0.133,0.0006,0,0,0,0.112,0,0,0,0,0,0.119,0,class3
148,0.88,0.015,0,0,0,0,0,0,0.089,0.00083,0,0,0,0.095,0,0,0,0,0,0.094,0,class3
149,0.31,0.027,0,0,0,0,0,0,0.163,4e-05,0,1,1,0.172,0,0,0,0,0,0.094,0,class3
150,0.36,0.0206,0,0,0,0,0,0,0.081,0.00189,0,0,0,0.095,0,0,0,0,0,0.085,0,class3
151,0.35,0.038,0,0,0,0,0,0,0.14,0.00072,0,0,0,0.121,0,0,0,1,0,0.116,0,class3
152,0.28,0.014,0,0,0,0,0,0,0.12,0.0013,0,0,0,0.146,0,0,0,0,0,0.082,0,class3
153,0.42,0.022,0,0,0,0,0,0,0.178,0.0023,0,0,0,0.142,0,0,0,0,0,0.126,0,class3
154,0.73,0.02,0,0,0,0,0,0,0.192,0.0001,0,0,0,0.188,0,0,0,0,0,0.102,0,class3
155,0.37,0.0206,0,1,0,0,0,0,0.098,0.00189,0,0,0,0.119,0,0,0,0,0,0.083,0,class3
156,0.8,0.013,0,1,0,0,0,0,0.083,0.0061,0,0,0,0.095,0,0,0,0,0,0.088,0,class2
157,0.49,0.009,0,0,0,0,0,0,0.103,0.00829,0,0,1,0.093,0,0,0,0,0,0.111,0,class2
158,0.17,0.005,0,1,0,0,0,0,0.043,0.0015,0,0,0,0.105,0,0,0,0,0,0.041,0,class3
159,0.45,0.014,0,0,0,0,0,0,0.108,0.0074,0,0,0,0.1,0,0,0,0,0,0.108,0,class2
160,0.06,0.02,0,0,0,0,0,0,0.134,0.0014,0,0,0,0.14,0,0,0,0,0,0.096,0,class3
161,0.55,0.003,0,1,0,1,0,0,0.073,0.00859,0,0,1,0.096,0,0,0,0,0,0.076,0,class2
162,0.71,0.015,0,0,0,0,0,0,0.104,3e-05,0,0,0,0.1,0,0,1,0,0,0.104,0,class3
163,0.7,0.018,0,0,0,0,0,0,0.124,0.0062,0,0,0,0.112,0,0,0,0,0,0.111,0,class2
164,0.48,0.0206,0,0,1,0,0,0,0.119,0.0001,0,0,1,0.131,0,0,0,0,0,0.091,0,class3
165,0.21,0.019,1,0,0,0,0,0,0.112,0.0013,0,1,0,0.106,0,1,0,0,0,0.104,0,class3
166,0.61,0.017,0,0,0,0,0,0,0.16,0.00073,0,1,0,0.149,0,0,0,0,0,0.111,0,class3
167,0.36,0.0206,0,0,0,0,0,0,0.149,4e-05,1,0,0,0.09,0,0,0,0,0,0.165,1,class3
168,0.68,0.025,0,0,0,0,0,0,0.111,0.02,0,0,0,0.071,0,0,0,1,0,0.157,0,class2
169,0.59,0.018,0,1,0,0,0,0,0.147,0.0015,0,0,0,0.132,0,0,0,0,0,0.111,0,class3
170,0.42,0.012,0,1,0,0,0,0,0.044,0.0068,0,0,0,0.051,0,0,0,0,0,0.087,0,class1
171,0.69,0.0206,0,0,0,0,0,1,0.093,0.0071,0,1,0,0.085,0,0,0,0,0,0.11,0,class3
172,0.38,0.015,0,1,0,0,0,0,0.106,0.0001,0,0,0,0.134,0,0,0,0,0,0.079,0,class3
173,0.25,0.0206,0,0,0,0,0,0,0.11118,0.00189,0,0,0,0.11207,0,0,0,0,0,0.099,0,class3
174,0.39,0.018,0,0,0,0,0,0,0.09,0.0001,0,0,0,0.126,0,0,0,0,0,0.071,0,class3
175,0.55,0.025,1,0,0,0,0,0,0.106,0.0092,0,0,0,0.094,0,0,0,0,0,0.113,0,class2
176,0.66,0.019,0,1,0,0,0,0,0.08,0.0005,0,0,0,0.094,0,0,0,0,0,0.085,0,class3
177,0.64,0.028,0,0,0,0,0,0,0.123,0.0003,0,0,0,0.1,0,0,0,0,0,0.123,0,class3
178,0.83,0.023,0,0,0,0,0,0,0.147,0.00025,0,0,0,0.135,0,0,0,0,0,0.109,0,class3
179,0.54,0.02,0,0,0,0,0,0,0.088,0.0019,0,0,0,0.092,0,0,0,0,0,0.095,0,class3
180,0.7,0.015,0,0,0,0,0,0,0.088,0.034,0,0,0,0.083,0,0,0,0,0,0.104,0,class2
181,0.64,0.012,0,0,0,0,0,0,0.067,0.00889,0,0,0,0.089,0,0,0,1,0,0.075,0,class2
182,0.26,0.0206,0,0,0,0,0,0,0.098,0.0013,0,0,0,0.095,0,0,0,0,0,0.104,0,class3
183,0.51,0.026,0,0,0,0,0,0,0.11118,0.00189,0,0,0,0.11207,0,0,0,1,0,0.099,0,class3
184,0.33,0.0206,0,0,0,0,0,0,0.11118,0.00189,0,0,0,0.11207,0,0,0,0,0,0.099,0,class3
185,0.23,0.0206,0,1,0,0,0,0,0.11118,0.00189,0,0,0,0.11207,0,0,0,0,0,0.099,0,class3
186,0.48,0.02,0,1,0,0,0,0,0.086,0.00208,0,0,0,0.11,0,0,0,0,0,0.078,0,class3
187,0.29,0.011,0,1,0,0,0,0,0.046,0.00025,0,0,0,0.104,0,0,0,0,0,0.099,0,class3
188,0.71,0.038,0,0,0,1,0,0,0.171,3e-05,0,0,0,0.151,0,0,0,1,0,0.113,0,class3
189,0.29,0.0208,0,0,0,0,0,0,0.11,0.0007,0,0,0,0.116,0,0,0,0,0,0.095,0,class3
190,0.84,0.0206,0,0,0,0,0,0,0.088,0.00189,0,0,0,0.1,0,0,0,1,0,0.087,0,class3
191,0.58,0.031,0,0,0,0,0,0,0.151,0.0003,0,0,0,0.108,0,0,0,0,0,0.14,0,class3
192,0.01,0.018,0,1,0,0,0,0,0.119,0.0016,0,0,0,0.113,0,0,0,0,0,0.104,0,class3
193,0.68,0.022,0,1,0,0,0,0,0.099,0.0003,0,0,0,0.115,0,0,0,0,0,0.086,0,class3
194,0.45,0.023,0,0,0,0,0,0,0.138,0.0009,0,1,0,0.126,0,0,0,0,0,0.101,0,class3
195,0.44,0.014,0,1,0,0,1,0,0.103,0.003,0,0,0,0.118,0,0,0,0,0,0.088,0,class3
196,0.31,0.0208,0,0,0,0,0,0,0.066,0.00091,0,0,0,0.099,0,0,0,0,0,0.066,0,class3
197,0.34,0.031,0,0,0,0,0,0,0.142,3e-05,0,0,0,0.097,0,0,0,0,0,0.147,0,class3
198,0.35,0.022,0,0,0,0,0,0,0.089,0.0005,0,0,0,0.08971,0,0,0,0,0,0.099,0,class3
199,0.53,0.019,1,1,0,0,0,0,0.11,0.0017,0,0,0,0.15,0,0,0,0,0,0.073,0,class3
200,0.38,0.025,0,0,0,0,0,0,0.088,0.0003,0,0,0,0.093,0,0,0,0,0,0.095,0,class3
201,0.24,0.025,0,0,0,0,0,0,0.11,0.01,0,0,0,0.094,0,0,0,0,0,0.116,0,class2
202,0.22,0.024,1,0,0,0,0,0,0.157,0.0027,0,0,0,0.131,0,0,0,0,0,0.12,0,class3
203,0.73,0.008,0,0,0,0,0,0,0.091,0.0046,0,0,0,0.106,0,0,0,0,0,0.086,0,class3
204,0.41,0.0206,0,0,0,0,0,0,0.11118,0.00189,0,0,0,0.11207,0,0,0,0,0,0.099,0,class3
205,0.53,0.024,0,0,0,0,0,0,0.087,0.0031,0,0,0,0.093,0,0,0,0,0,0.094,0,class3
206,0.78,0.013,0,1,0,0,0,0,0.087,0.0024,0,0,0,0.097,0,0,0,0,0,0.089,0,class3
207,0.42,0.018,0,0,0,0,0,0,0.07,0.0012,0,0,0,0.081,0,0,0,0,0,0.086,0,class3
208,0.76,0.022,0,0,0,0,0,0,0.105,0.0009,0,0,1,0.096,0,0,0,0,0,0.109,0,class3
209,0.67,0.0208,0,1,0,0,0,0,0.096,0.0001,0,0,0,0.095,0,0,0,0,0,0.101,0,class3
210,0.59,0.02,1,1,0,0,0,0,0.095,0.0011,0,0,0,0.111,0,0,0,0,0,0.085,0,class3
211,0.72,0.025,0,0,0,0,0,0,0.18,0.0001,0,0,0,0.217,0,0,0,1,0,0.083,0,class3
212,0.54,0.02,0,1,0,0,0,0,0.092,0.00208,0,0,0,0.092,0,0,0,0,0,0.1,0,class3
213,0.67,0.004,0,0,0,0,0,0,0.012,0.051,0,0,0,0.01,0,0,0,0,0,0.126,0,class1
214,0.51,0.02,0,0,0,0,0,0,0.143,0.0024,0,0,0,0.109,0,0,0,0,0,0.131,0,class3
215,0.29,0.026,0,0,0,0,0,0,0.089,0.0016,0,0,0,0.091,0,0,0,0,0,0.098,0,class3
216,0.56,0.025,0,0,0,0,0,0,0.122,0.0006,1,0,0,0.116,0,0,0,0,0,0.104,0,class3
217,0.83,0.0174,0,0,0,0,0,0,0.071,0.007,0,0,0,0.09,0,0,0,0,0,0.078,0,class2
218,0.19,0.022,0,1,0,0,0,0,0.117,0.009,0,0,1,0.11688,0,0,0,0,0,0.1,0,class2
219,0.66,0.016,0,0,0,0,0,0,0.137,0.0002,0,0,0,0.144,0,0,0,0,0,0.095,0,class3
220,0.6,0.006,0,1,0,0,0,0,0.023,0.036,0,0,0,0.034,0,0,0,0,0,0.068,0,class1
221,0.3,0.0206,0,1,0,0,0,0,0.11118,0.00189,0,0,0,0.11207,0,0,0,0,0,0.099,0,class3
222,0.42,0.04,0,0,0,0,0,0,0.2,2e-05,0,0,0,0.128,0,0,0,1,0,0.156,1,class3
223,0.23,0.019,0,0,0,1,0,0,0.066,0.0041,0,0,0,0.077,0,0,0,0,0,0.085,0,class3
224,0.54,0.004,0,0,0,0,0,0,0.056,0.0025,0,0,0,0.083,0,0,0,0,0,0.068,0,class3
225,0.24,0.016,0,1,0,0,0,0,0.096,0.002,0,0,0,0.09677,0,0,0,0,0,0.099,0,class3
226,0.78,0.02,0,0,0,0,0,0,0.092,0.00073,0,0,0,0.097,0,0,0,0,0,0.095,0,class3
227,0.72,0.026,0,0,0,0,0,0,0.111,0.0023,0,0,0,0.105,0,0,0,0,0,0.104,0,class3
228,0.52,0.027,0,0,0,0,0,0,0.133,0.00015,0,0,0,0.127,0,0,0,1,0,0.104,0,class3
229,0.63,0.015,0,1,0,0,0,0,0.128,0.033,0,0,0,0.12787,0,0,0,0,0,0.1,0,class2
